age,income,years_as_fan,number_of_games_attended,team_performance_rating,engagement_with_team,loyalty
18,71197,18,42,8.898823177,2,1
42,80180,17,19,1.374911365,0,0
24,48710,26,17,4.578828216,2,0
26,54486,8,42,7.860781288,1,1
41,96907,15,20,5.094270006,0,0
18,96895,8,3,3.405273668,0,0
61,89435,17,49,2.978248139,0,0
25,65631,12,32,2.183664402,1,0
41,45103,27,26,8.714166039,2,1
28,89772,8,6,6.178198629,0,0
34,39382,25,5,1.687464505,2,0
25,109291,14,14,4.443222912,2,0
52,28756,4,17,4.309602857,1,0
52,45609,1,31,2.635652716,0,0
50,41478,1,10,4.919568629,2,0
22,64666,19,19,3.988894289,0,0
59,100683,16,23,4.076233349,0,0
56,96315,14,14,7.65123902,1,1
58,102834,21,47,3.00937047,0,0
45,39153,16,6,6.77673963,0,0
24,101325,5,20,6.135846615,2,0
26,37999,9,41,6.112832611,1,1
25,80318,26,25,6.967066115,0,0
29,25814,28,43,5.935438326,2,1
51,101077,2,13,8.913296034,1,0
50,115474,18,36,7.080220828,1,1
40,27443,6,20,5.922669262,2,1
41,100993,9,17,8.467868083,2,1
54,100916,1,4,6.455319084,2,0
52,98319,9,2,3.62029823,2,0
61,42368,25,22,2.863854264,2,0
57,40328,16,25,2.370950071,0,0
39,81942,13,36,9.095096913,0,0
44,116751,9,23,7.391218886,1,1
52,52306,21,48,9.436405943,0,0
18,110451,13,18,6.429626251,0,0
52,64915,9,24,5.260607933,0,0
54,62219,11,20,1.537448401,2,0
64,105879,4,11,7.044780534,1,0
31,89644,2,40,6.239878838,1,0
20,85279,29,32,9.911880042,1,1
18,78028,6,49,3.152429,1,0
22,25126,14,3,5.776636198,0,0
43,77329,4,41,6.858616016,0,0
31,52632,6,6,6.801320573,2,1
56,90310,19,21,6.051641887,1,1
44,80176,6,32,7.992352093,0,0
26,111066,2,16,2.844830886,0,0
32,69327,18,23,7.530644802,2,1
32,93904,13,33,6.577611143,2,1
43,28797,9,27,9.064676006,2,1
59,72882,23,42,8.624749951,0,0
30,38718,19,40,3.836323352,0,0
49,59560,13,38,3.486135925,2,0
56,101589,11,21,9.834879915,1,1
49,47116,1,48,5.745386628,2,0
21,61244,24,16,9.157788675,2,1
47,26645,22,33,2.474929214,2,0
54,72523,7,5,6.785370233,2,0
40,44256,25,45,8.288741686,0,0
56,78173,21,5,9.526557246,1,0
62,62430,15,33,4.036061269,2,0
32,64282,1,0,7.524830529,1,0
60,88374,12,9,5.849317081,1,1
46,93244,26,20,1.545660335,1,0
53,36694,7,4,7.209997636,2,0
30,81264,15,1,7.210869024,0,0
49,100060,21,21,9.375461244,2,1
24,82545,19,47,5.475812016,1,1
39,64224,28,1,3.072258286,1,0
45,38224,29,9,1.401074411,0,0
19,65738,25,33,4.74077968,2,0
59,50150,1,15,3.717250301,1,0
62,88731,17,47,7.849794754,0,0
23,74688,17,38,4.188409884,1,0
45,98509,3,21,9.541640767,0,0
45,33577,12,11,9.660791827,0,0
61,33070,6,23,6.588177312,2,1
61,33666,26,46,9.357942583,1,1
37,82761,11,39,7.847689101,2,1
47,61368,3,37,5.921736769,1,0
28,31783,8,9,2.622771419,2,0
45,66914,14,34,5.127381492,1,1
42,95507,14,48,6.04787017,2,1
56,104026,10,31,8.775654227,0,0
50,92526,2,6,5.332000389,1,0
18,95835,14,20,9.079072054,1,1
44,70765,9,19,7.069140811,0,0
30,44956,3,25,2.232991567,2,0
58,112895,21,3,9.954832324,1,0
20,71240,26,45,5.745093947,1,1
56,62148,8,21,4.526724668,2,0
23,119270,16,14,6.93202388,0,0
25,29757,2,39,1.980039826,2,0
44,44097,6,20,6.728847821,2,1
26,35395,28,14,5.484124004,2,1
54,41241,21,21,4.66006663,1,0
50,52696,29,27,9.577180191,0,0
59,95480,26,13,5.702857451,0,0
61,71163,25,26,2.972057315,2,0
41,44816,12,40,5.130671314,1,1
32,74840,5,39,9.274486641,2,0
49,77853,2,27,2.584859242,1,0
49,49917,16,25,2.925613348,1,0
41,46566,5,48,1.11726611,1,0
58,100452,15,1,1.127710445,1,0
29,87823,12,24,8.464524643,0,0
56,45806,4,2,7.589103462,1,0
19,100520,15,7,4.195369508,1,0
20,26759,11,43,7.284800415,2,1
54,66949,16,32,4.556853337,2,0
34,117374,23,41,9.576071164,0,0
19,27482,6,34,9.703474133,2,1
19,49442,14,5,4.535143982,1,0
45,58719,18,38,8.687997157,2,1
40,83066,12,22,7.957801375,0,0
54,118501,27,24,3.789999435,2,0
49,27079,11,49,3.08835846,2,0
50,27717,13,42,5.124111854,0,0
18,84676,21,18,8.032139566,0,0
36,52952,23,4,9.641510063,1,0
19,111444,11,10,7.87221162,2,1
61,67460,23,11,8.696862865,1,1
43,115397,16,9,6.427578756,2,1
49,97847,15,7,8.518670478,2,1
23,118607,21,23,8.059787722,1,1
49,114106,28,27,4.392869877,2,0
21,43449,15,40,5.967912719,2,1
28,58536,25,35,8.242778098,2,1
34,89077,4,36,1.414510608,0,0
55,63258,11,20,8.272713541,1,1
41,73302,19,7,2.600993116,0,0
22,53865,15,8,5.632152554,1,1
51,31645,4,46,8.274478956,1,0
23,63000,21,14,3.284389703,2,0
39,51737,13,47,3.212266954,1,0
28,36485,22,45,4.624879586,0,0
33,63565,19,39,9.051785178,0,0
50,50522,2,17,1.003985033,0,0
26,90155,14,41,9.11244787,1,1
23,80168,29,19,2.384263222,0,0
33,77487,4,5,9.910777385,1,0
46,37342,16,11,9.593622937,0,0
20,65806,21,1,5.452076706,0,0
37,73770,20,6,5.61448223,1,1
53,103623,14,15,5.333944062,0,0
36,100629,27,2,6.718992811,2,0
43,77603,29,44,1.81649532,1,0
20,106974,15,2,1.293561535,1,0
36,51399,28,26,1.519326356,1,0
37,110382,3,49,4.999288143,2,0
49,106244,8,42,3.479931453,1,0
24,101534,16,39,6.598356061,0,0
58,80106,10,37,9.931980604,0,0
50,55678,4,32,4.476908558,0,0
57,101218,18,27,6.164571287,1,1
56,88230,2,0,4.740435063,0,0
35,99055,17,7,8.625445009,1,1
57,81373,13,36,9.120127631,0,0
18,56480,4,31,8.89620051,2,0
28,110230,26,47,9.769350148,2,1
45,93836,25,42,1.247672666,2,0
42,97258,11,36,8.558345459,2,1
40,64986,7,3,7.765949557,1,0
48,49160,12,29,3.058249685,0,0
47,110595,10,5,9.60688084,2,0
59,104111,7,45,2.333601354,1,0
52,89929,13,18,7.115949344,2,1
24,98506,7,31,3.024011951,2,0
33,59911,24,8,4.882425839,1,0
43,112127,17,11,7.472439073,1,1
19,56821,10,10,6.069921778,0,0
18,100039,29,45,4.847516482,0,0
29,85535,10,15,3.937045878,2,0
22,109458,24,0,8.556936901,2,0
54,37175,4,44,2.294329153,0,0
49,79771,20,20,4.870925889,0,0
26,111925,4,29,9.133818146,1,0
58,91358,22,12,8.612645954,0,0
52,42327,7,33,4.608475862,0,0
36,72057,22,3,7.867975272,2,0
33,31150,1,27,8.408447476,0,0
20,29425,12,37,8.999986816,2,1
37,41032,24,30,5.900551921,0,0
41,27198,13,26,2.840147974,1,0
50,85500,10,4,3.297781689,0,0
41,78394,15,24,3.661252066,0,0
28,45079,27,2,6.344222327,0,0
25,61220,13,32,1.295286617,2,0
53,66874,23,3,6.724382219,1,0
55,38859,22,24,4.279188146,0,0
57,75460,22,19,3.657176222,2,0
37,56419,21,33,8.915469137,1,1
52,33705,22,25,5.14002156,2,1
42,67880,28,4,1.85547741,2,0
52,48236,9,34,8.440720912,1,1
42,112955,26,27,1.428771317,0,0
46,110514,9,28,7.540743018,2,1
35,40358,15,8,7.965155996,2,1
63,119914,10,37,4.173423453,0,0
35,101918,24,49,8.423090707,0,0
19,39596,26,5,5.640934653,1,0
52,58572,25,18,5.169642879,1,1
33,103757,29,43,1.408629533,1,0
58,26279,10,10,3.610262743,0,0
53,88197,8,1,9.379089738,2,0
50,87516,24,46,4.52641567,2,0
21,32083,16,43,5.920304685,1,1
50,42771,17,43,5.788195111,0,0
31,54975,26,8,6.313879808,2,1
38,70648,27,20,1.551978601,1,0
37,73285,5,23,4.259586293,2,0
25,44063,4,33,7.508154465,2,0
24,92642,18,21,2.80504226,0,0
20,115093,24,2,2.832205398,0,0
34,111143,19,11,1.09081546,2,0
50,62599,4,27,4.937337339,1,0
29,76920,28,29,8.944609426,0,0
39,53529,7,25,1.467108492,2,0
39,60954,10,47,2.720068385,0,0
63,52856,25,20,3.790760845,0,0
47,27573,18,27,7.585522629,0,0
55,103344,19,25,6.765720335,2,1
55,60367,4,32,4.743495141,1,0
62,85774,10,20,7.831620453,1,1
25,48752,1,34,6.486679105,1,0
44,80029,23,33,9.064367197,0,0
44,42685,18,40,8.362240742,2,1
51,76693,5,46,3.275322455,0,0
38,80961,15,17,3.442947199,1,0
47,101908,17,10,2.128208282,1,0
50,99532,3,22,4.032682531,2,0
45,106994,12,47,9.995895268,0,0
64,81133,2,21,4.651760518,1,0
50,86268,1,16,2.984395912,2,0
22,117201,23,4,7.86234596,0,0
36,63243,21,43,5.882239031,0,0
21,82384,17,10,2.346413046,1,0
52,56653,22,29,4.42620713,1,0
34,51657,16,14,4.73022744,0,0
61,64952,5,26,7.784467305,0,0
45,47180,15,34,1.18604232,1,0
47,103411,3,32,3.421176821,0,0
46,26622,28,19,5.658366712,1,1
63,73756,7,15,3.419620682,0,0
23,65809,11,33,6.655906427,1,1
52,41725,10,1,5.336807313,2,0
58,86396,9,34,4.255392294,1,0
54,76226,14,39,9.542877642,1,1
41,106182,13,27,6.689435493,2,1
46,107565,29,46,2.16947235,0,0
63,54402,25,38,6.040825277,2,1
48,29263,25,5,8.026586679,1,0
52,71828,2,8,7.376407277,0,0
50,72924,3,19,2.548803064,2,0
38,99182,7,0,9.751779991,0,0
49,118065,21,7,5.039322812,0,0
40,84052,18,22,2.431225034,2,0
50,36664,3,2,2.621761787,0,0
20,60737,10,3,1.88411493,2,0
35,114563,22,24,8.231662976,1,1
42,54373,29,46,2.098274449,0,0
59,61397,7,37,2.126127314,1,0
48,111145,9,14,8.654244533,1,1
20,63709,17,20,4.10143676,0,0
57,86120,11,34,1.277721139,2,0
63,44250,7,45,1.467057696,0,0
41,46172,24,13,2.27953402,1,0
49,36555,28,35,2.920540132,1,0
64,112410,14,11,6.986315748,2,1
39,103617,19,16,2.41593652,0,0
40,78276,4,38,2.069869521,1,0
19,82492,26,8,7.882472273,1,1
44,78002,6,34,7.039497555,1,1
59,114599,10,12,4.917917993,2,0
19,97355,7,14,5.943787943,1,1
43,116248,13,17,3.807856183,1,0
34,49762,14,32,5.342503782,0,0
57,36046,4,5,5.560053841,0,0
50,53769,8,26,4.485135441,1,0
26,78302,5,22,9.159149896,1,0
60,48150,1,26,1.144556785,0,0
56,93247,4,33,8.039541368,2,0
46,29853,3,45,2.119445481,2,0
59,119613,9,37,8.177926245,2,1
43,114399,8,13,6.543207241,2,1
52,46792,1,35,8.589502818,2,0
42,84129,27,7,1.877628931,2,0
41,99478,6,34,6.030825707,2,1
30,92298,9,18,5.509790922,2,1
24,56987,7,29,7.355738647,0,0
53,40850,4,13,5.808614967,2,0
62,37112,13,19,5.866611104,2,1
37,49058,17,48,4.866363492,2,0
18,70420,28,24,3.779509816,1,0
25,63890,2,39,5.340379251,0,0
63,91017,28,23,2.066431229,0,0
33,72304,5,13,9.653620051,0,0
31,57921,12,25,7.429696873,2,1
29,26524,27,37,9.57220405,2,1
40,40048,21,22,3.040546441,1,0
32,60111,8,21,8.914069182,0,0
45,62904,6,47,8.279109861,2,1
51,79912,8,18,7.094371712,0,0
19,59008,18,45,6.625262675,1,1
49,25060,3,2,3.848946987,1,0
40,99666,22,41,8.347697065,1,1
39,108559,12,18,5.513639153,0,0
42,80337,29,8,1.638024183,2,0
39,38350,26,27,3.815768448,2,0
39,49354,3,19,9.417673887,1,0
59,70186,22,44,8.656122345,2,1
23,53145,6,6,9.837151283,1,1
32,59020,2,13,6.651940443,0,0
60,111123,23,8,3.227590658,1,0
54,100186,12,18,2.465335447,0,0
50,110469,2,46,2.682229965,1,0
25,45581,6,13,1.178160925,2,0
61,113929,17,37,4.516138999,2,0
61,48051,3,35,2.722849124,1,0
22,76474,2,39,4.704899144,2,0
56,116748,23,16,9.414949887,2,1
21,94626,20,29,4.874861886,2,0
23,31960,8,8,8.901860473,0,0
62,60772,22,32,6.4495429,2,1
49,46520,12,24,3.224183992,0,0
47,74481,26,13,4.202692833,1,0
64,61408,4,10,1.755275822,2,0
52,119006,5,34,4.001163342,2,0
57,82134,13,40,7.09786851,2,1
33,45491,29,13,1.648999836,1,0
30,26341,15,29,2.848612676,0,0
59,69623,25,40,4.432969373,0,0
47,115327,23,3,9.838445833,2,0
36,25338,16,3,8.063756407,1,0
34,96431,10,27,7.601380718,1,1
36,37254,25,7,2.045718609,1,0
45,76860,23,1,8.028963043,1,0
43,36344,16,40,8.067419304,1,1
54,26750,12,45,6.409924261,0,0
43,79756,17,21,9.913256038,0,0
40,92957,16,40,3.927285153,0,0
26,83053,12,15,9.471452034,2,1
29,95855,8,28,9.232580035,1,1
18,40896,20,48,1.103325938,2,0
18,80761,3,47,5.051048738,1,0
64,87552,16,29,9.793938097,0,0
51,102454,13,11,1.928092262,2,0
49,115600,23,34,5.930062249,0,0
42,52935,28,10,9.810617563,1,1
57,62641,19,45,5.999458817,1,1
62,54711,8,49,2.708337727,1,0
18,95342,22,20,6.239649071,0,0
33,37182,5,20,2.839965166,1,0
56,112833,20,4,5.677338366,0,0
22,81276,8,47,1.666379961,2,0
39,44541,24,19,6.449344023,1,1
46,119457,12,36,5.651109452,1,1
20,107310,1,2,7.661452319,1,0
29,69813,25,43,6.67630424,2,1
43,62198,21,32,5.946456417,1,1
33,33820,20,8,7.208009643,0,0
54,49070,6,8,2.295477222,0,0
39,94768,22,3,6.358236951,1,0
46,36122,18,34,2.548995425,1,0
31,105559,8,16,9.329699871,2,1
45,98543,7,33,1.615006944,2,0
22,108441,1,23,4.873372747,2,0
64,66786,21,31,7.262177299,1,1
47,119934,16,0,5.122199905,2,0
63,31737,12,7,1.828857279,2,0
22,61062,6,44,5.980411145,0,0
29,79237,20,22,6.774687179,2,1
33,76571,2,46,7.334130799,0,0
43,50510,29,39,4.35933833,0,0
43,44426,14,11,6.072939739,2,1
38,62265,4,11,5.056178274,0,0
56,42850,1,45,7.048504349,1,0
53,91150,23,46,6.252012706,1,1
50,112312,18,14,5.731805976,2,1
47,114613,13,40,3.245719302,1,0
54,99910,2,18,1.01816666,0,0
40,77375,9,25,2.566735078,1,0
27,60435,21,28,2.053594373,2,0
22,82132,2,21,5.041762705,2,0
53,103945,27,39,6.510323357,0,0
51,107050,25,20,2.917765078,2,0
48,27983,9,37,9.451513864,1,1
27,45662,1,19,1.060139163,2,0
36,48510,11,28,7.950709136,0,0
49,103187,3,3,6.626842926,2,0
18,65998,20,6,4.361993209,1,0
22,81846,23,27,1.4544005,0,0
62,119071,26,27,6.647379146,1,1
21,31640,4,3,4.470521616,0,0
33,69547,18,21,9.426404255,2,1
41,79620,23,11,5.877910674,0,0
33,40317,6,44,9.456863602,0,0
19,32564,3,2,2.984353241,2,0
45,52345,22,21,7.531533193,1,1
49,119223,11,43,6.555241188,2,1
44,104273,15,1,7.654674068,0,0
37,99859,22,23,2.932010776,2,0
41,105765,28,33,6.984950646,0,0
29,99038,5,26,5.482363538,2,0
52,77393,20,40,7.685424774,2,1
50,91081,10,0,3.943401797,1,0
50,54430,12,7,9.010513229,0,0
60,100532,15,22,1.758711832,1,0
54,52788,17,37,8.264703869,0,0
29,73543,10,5,8.751876632,2,0
20,38919,6,21,8.355270802,0,0
18,94346,18,24,5.614537548,1,1
50,64974,13,17,4.94546482,1,0
57,41371,3,16,9.966360579,1,0
27,70084,24,11,3.062547561,0,0
60,54629,10,5,5.921883693,1,0
61,76184,14,25,7.036079728,1,1
46,86916,6,26,7.307808723,1,1
30,98972,3,7,2.836221992,2,0
29,87187,16,18,6.885946831,2,1
48,37984,7,41,8.365326098,0,0
63,58039,20,0,1.450167191,0,0
19,110431,14,28,9.20369164,1,1
52,108691,9,44,1.265536496,2,0
40,83606,15,48,4.203739292,1,0
34,35616,21,34,1.142318766,1,0
43,75072,3,39,1.694306517,2,0
25,49574,2,13,9.200514567,2,0
46,28430,27,34,4.193747477,2,0
43,37676,2,47,4.822943774,0,0
27,35816,3,44,2.938099432,0,0
43,57733,18,19,6.373861932,1,1
51,110680,14,48,6.353228932,0,0
58,27050,20,12,4.349803526,2,0
24,58933,18,37,3.997313846,2,0
21,49951,10,48,8.964678774,0,0
62,57413,25,45,4.449558157,1,0
28,59801,2,48,5.441508929,1,0
46,80619,25,7,3.549742862,0,0
53,57913,29,42,8.08092553,1,1
42,65600,22,19,4.577033412,1,0
38,82775,1,32,5.622499419,1,0
53,115816,4,25,3.280214531,2,0
27,115093,14,38,9.888936331,2,1
54,60400,1,20,3.623461668,0,0
26,29494,14,48,7.936682778,2,1
41,105688,16,41,4.847460853,1,0
52,114431,22,42,2.855956646,2,0
52,99691,14,40,8.197468876,0,0
53,68001,29,8,4.002461101,2,0
35,92364,20,23,8.786740127,1,1
56,70028,3,36,9.237314664,1,0
49,62573,3,48,8.738414519,0,0
41,25806,9,40,1.315071233,2,0
40,81638,6,16,8.086360105,2,1
49,54757,25,23,4.702055198,2,0
54,59636,13,20,8.863506282,1,1
29,105097,21,38,6.741588364,0,0
30,73280,2,40,8.502788207,2,0
40,49262,8,38,5.494885929,1,1
42,105435,21,12,5.815229541,1,1
52,87211,2,10,2.299488689,1,0
58,79842,4,45,8.055886228,2,0
47,81979,25,18,4.774506505,2,0
34,106470,15,10,5.500721064,2,1
37,63197,4,12,8.065879427,2,0
42,66844,13,45,6.389608601,2,1
39,89754,28,44,2.809888547,2,0
30,59157,12,0,6.312093932,2,0
36,102129,28,39,4.668695722,2,0
53,65042,13,43,5.225729878,2,1
29,86665,14,18,1.25480147,1,0
58,107856,20,11,2.890264146,2,0
36,52376,18,7,3.529342732,0,0
29,80554,29,7,7.416640071,1,1
26,39199,28,44,1.10343226,2,0
24,106412,6,11,4.678995351,0,0
45,75948,29,47,9.316241834,2,1
31,98781,11,32,2.006925549,0,0
48,97750,2,44,5.647819494,0,0
36,91262,28,25,8.078701442,0,0
64,71600,23,38,9.482781768,0,0
33,101898,19,27,7.720989756,1,1
22,87483,19,4,7.485089938,1,0
52,43297,5,7,8.438392812,0,0
29,55448,19,24,5.015810989,2,1
42,51172,2,26,8.252600794,0,0
38,67874,10,45,1.071679643,1,0
53,32657,25,22,9.321049498,2,1
40,109386,2,29,4.989758586,1,0
33,50425,11,44,5.980421691,1,1
56,51685,18,46,3.29394024,2,0
62,49578,29,22,7.682777496,0,0
59,53831,24,48,1.689722258,0,0
56,32906,15,46,8.853722223,0,0
31,86413,9,19,8.453051461,0,0
48,79028,23,17,2.944541046,2,0
22,32287,19,17,8.283919585,2,1
52,58660,9,1,8.077219598,2,0
40,100758,3,3,6.68994938,1,0
46,85504,21,29,4.361681592,2,0
60,84720,9,32,3.443488788,0,0
28,59701,28,35,3.086052313,1,0
35,108300,14,17,3.867480665,0,0
64,42674,19,36,9.132025991,0,0
29,108560,7,18,1.698766984,2,0
26,48874,16,46,8.459841486,2,1
27,68642,16,27,4.140010675,0,0
61,90160,28,39,5.694394564,0,0
34,42602,1,19,8.150370703,1,0
55,113801,4,48,8.959388923,2,0
24,50931,4,32,4.103032781,1,0
63,119377,7,11,5.156591331,1,1
30,54192,8,14,4.730644583,1,0
57,71542,17,40,1.119259302,0,0
59,67520,5,38,3.663486,1,0
26,89772,7,1,5.132703104,1,0
44,83762,28,28,4.69984248,0,0
19,75106,20,40,7.497363048,2,1
22,106121,29,9,4.463232555,2,0
46,50559,20,1,5.404388041,1,0
54,58742,4,10,4.866477329,0,0
55,94669,28,12,7.66563534,2,1
36,105199,6,9,8.766751591,1,1
25,46754,7,13,5.787001711,1,1
62,28972,18,17,8.104889748,0,0
18,95831,5,8,3.671080138,1,0
39,66873,20,38,5.872326491,2,1
34,119661,29,27,4.107069583,0,0
24,34903,3,2,4.72780833,2,0
42,28020,7,19,7.591724783,2,1
62,66755,27,5,8.934962341,2,0
21,110956,28,26,2.09345852,1,0
53,111988,22,1,6.711753308,1,0
23,70648,14,28,6.239294268,2,1
48,34516,7,37,2.065735353,2,0
36,27396,5,2,2.907048974,0,0
61,109082,29,15,3.799022453,0,0
56,44129,22,29,2.502379637,1,0
44,26591,5,39,3.193565343,1,0
27,36303,23,1,3.40840719,0,0
43,55561,2,16,4.021064497,2,0
36,96719,27,40,7.744514075,1,1
56,117108,21,11,6.147209835,2,1
20,111231,22,34,9.876220048,0,0
62,32314,6,42,4.732622443,1,0
30,44623,15,0,7.784785665,1,0
45,92675,21,44,8.843215792,0,0
37,90082,10,14,7.110806437,1,1
45,108624,23,25,4.706782664,0,0
25,58130,26,36,7.782351677,1,1
58,76756,24,20,2.83300424,0,0
56,51292,7,48,3.947969487,1,0
18,111206,5,30,5.920167296,2,0
20,94274,1,24,6.178684486,2,0
30,27469,13,22,1.199273279,2,0
45,78947,21,23,9.506027699,1,1
42,47534,26,37,7.269645441,1,1
50,88620,18,27,5.461333752,2,1
55,73874,13,20,9.39814511,2,1
23,74708,21,42,4.951860087,0,0
61,99553,21,17,9.823920132,0,0
62,93344,18,35,5.610562815,0,0
49,74138,5,34,2.02857193,2,0
62,79302,13,44,7.883208752,2,1
64,72638,4,8,7.110079526,2,0
38,103249,17,37,7.956880492,0,0
33,27719,3,29,9.562978259,1,0
38,47890,17,43,7.988403724,2,1
28,102236,28,33,6.50202942,1,1
54,61509,11,31,8.715780121,1,1
53,67534,21,2,7.059217954,1,0
52,117241,20,2,4.673071511,0,0
36,43787,23,27,8.970577878,1,1
37,73845,21,43,2.997104147,2,0
35,82932,26,14,7.431771474,0,0
64,117124,4,40,8.934071094,2,0
58,116659,2,22,7.581848677,2,0
31,58062,20,39,7.275478771,0,0
32,100713,16,10,7.773744647,2,1
48,112263,28,47,5.185497235,2,1
18,85461,18,31,8.867536139,0,0
20,100418,8,35,2.830928276,2,0
33,91672,3,32,2.146477744,1,0
40,59832,9,23,3.569579021,2,0
28,56966,29,38,5.784196571,1,1
29,97545,20,33,5.595056159,2,1
27,37987,29,27,8.385388819,0,0
49,62311,6,36,4.641117908,0,0
33,56575,10,6,5.359099837,2,1
25,88852,21,3,1.120309149,0,0
55,26007,10,36,4.687653128,2,0
29,95981,13,0,6.829968097,0,0
41,101242,17,0,1.139574976,1,0
45,72517,9,46,3.527937687,2,0
25,54257,17,19,2.871607234,1,0
45,112272,24,18,1.37786886,1,0
53,67207,9,28,5.313340809,2,1
43,38281,9,9,2.635509639,1,0
25,86246,1,17,7.687733857,2,0
45,26435,2,27,8.631350954,1,0
45,116357,28,34,5.910266644,2,1
54,51660,16,42,9.835366083,2,1
58,30084,29,46,5.054307143,0,0
53,107197,1,30,5.620313892,2,0
44,38507,10,26,9.902959786,2,1
34,97595,18,10,3.083935924,1,0
26,108807,26,48,9.482913457,2,1
50,70539,28,48,1.385537996,0,0
37,32491,8,37,5.017482012,1,1
30,75192,21,4,1.630031609,1,0
45,105395,28,7,7.563112686,0,0
46,88888,11,33,6.475680423,1,1
30,98609,23,47,7.359708371,1,1
63,34077,2,11,4.3703236,1,0
52,45953,8,37,4.325337406,1,0
23,101919,27,0,1.407873511,0,0
35,92889,22,30,4.149504456,0,0
22,48821,8,3,9.36359562,1,0
64,62567,17,48,4.413038835,1,0
42,49860,15,44,8.482309356,0,0
19,46195,17,49,8.580929543,0,0
27,102475,28,4,4.359170407,0,0
47,115874,23,29,6.687898124,1,1
62,112266,24,23,1.85834442,1,0
22,46427,13,2,1.933107227,2,0
50,52083,19,10,1.437918973,0,0
18,112046,5,44,6.22913584,1,0
35,82372,12,3,4.834638799,0,0
49,69064,1,25,5.93229121,1,0
64,32813,23,26,5.689658715,0,0
28,56598,5,45,4.15182692,1,0
38,118106,8,42,7.097260733,2,1
43,52082,13,26,7.826516928,2,1
42,54241,8,41,1.13165433,0,0
39,69569,25,49,2.865180698,1,0
44,36745,23,5,7.419122813,1,0
30,51029,11,14,4.479581554,0,0
